iter	RMSE
0	21826.08166
1	21079.95235
2	20433.74968
3	19892.18583
4	19422.51332
5	18971.56876
6	18616.0579
7	18317.48917
8	18051.34553
9	17451.25245
10	17231.89107
11	16733.59676
12	16504.23882
13	16296.562
14	15881.63365
15	15698.57053
16	15490.56022
17	15337.00307
18	15164.35897
19	15035.9845
20	14900.14862
21	14624.8667
22	14505.2298
23	14252.76103
24	14144.0361
25	14067.46404
26	13880.83766
27	13795.87297
28	13706.99913
29	13612.18668
30	13531.83101
31	13336.79316
32	13282.50036
33	13101.87977
34	13050.16157
35	12996.67143
36	12854.22714
37	12792.16832
38	12706.38979
39	12651.07765
40	12592.18441
41	12478.69337
42	12443.1553
43	12374.32142
44	12269.97643
45	12218.36997
46	12142.77181
47	12076.15796
48	12011.99181
49	11964.66967
50	11921.46919
51	11870.1528
52	11814.41636
53	11771.49017
54	11717.90882
55	11637.7595
56	11596.38439
57	11554.72131
58	11505.32474
59	11458.44171
60	11411.57378
61	11379.91532
62	11345.97847
63	11324.80396
64	11247.02987
65	11186.36648
66	11136.00441
67	11099.28034
68	11041.63556
69	11003.00859
70	10981.82602
71	10935.28991
72	10900.67971
73	10876.1235
74	10834.80512
75	10812.45616
76	10791.73516
77	10756.00353
78	10733.46873
79	10706.31932
80	10672.27438
81	10643.35719
82	10622.21769
83	10599.0351
84	10577.70582
85	10532.87177
86	10513.76578
87	10487.3055
88	10455.06748
89	10423.32818
90	10396.45216
91	10367.56607
92	10343.40225
93	10317.64877
94	10297.75265
95	10277.89824
96	10254.06866
97	10204.88814
98	10184.94139
99	10159.3502
100	10138.56502
101	10097.1271
102	10080.00229
103	10037.91765
104	10003.55512
105	9988.362662
106	9967.819443
107	9950.177301
108	9928.869378
109	9909.379927
110	9886.566089
111	9861.889244
112	9840.757948
113	9824.0824
114	9787.866082
115	9761.533681
116	9747.830226
117	9728.850031
118	9719.50021
119	9704.056061
120	9674.379274
121	9656.683445
122	9628.441348
123	9611.956175
124	9593.599915
125	9574.446823
126	9543.388439
127	9527.127021
128	9503.333173
129	9481.810262
130	9461.305779
131	9439.765091
132	9420.918979
133	9401.886555
134	9389.101924
135	9378.891876
136	9363.737442
137	9346.600445
138	9335.137102
139	9319.882281
140	9275.003126
141	9260.838279
142	9248.724457
143	9225.359598
144	9212.111438
145	9195.608391
146	9167.446975
147	9153.510047
148	9137.868661
149	9127.410545
150	9116.99046
151	9106.027654
152	9097.908675
153	9078.100212
154	9063.016895
155	9040.365922
156	9026.897416
157	9016.337026
158	9001.371867
159	8989.067072
160	8978.394416
161	8966.240925
162	8956.078516
163	8940.708043
164	8925.654914
165	8913.433665
166	8901.541544
167	8891.451749
168	8874.954663
169	8865.724789
170	8839.349908
171	8828.211406
172	8817.583589
173	8780.317709
174	8771.692086
175	8753.786354
176	8742.836205
177	8734.29782
178	8721.500515
179	8709.189033
180	8700.764728
181	8693.249782
182	8672.918606
183	8657.468992
184	8649.003361
185	8640.578398
186	8634.21745
187	8625.603847
188	8618.555208
189	8611.465275
190	8602.358045
191	8592.635489
192	8582.336879
193	8564.603057
194	8551.915318
195	8544.115488
196	8535.902887
197	8526.804155
198	8517.284179
199	8496.306047
200	8490.966327
201	8477.415693
202	8469.812004
203	8454.279428
204	8446.38697
205	8440.715246
206	8424.639935
207	8417.990614
208	8404.259253
209	8390.799248
210	8381.971396
211	8354.441437
212	8347.036614
213	8342.144141
214	8330.173714
215	8321.852442
216	8298.46998
217	8286.640933
218	8280.300118
219	8262.977819
220	8242.570519
221	8232.825984
222	8217.819865
223	8212.00148
224	8206.05783
225	8201.029673
226	8192.277954
227	8183.036909
228	8174.779143
229	8166.177447
230	8160.303143
231	8154.731749
232	8149.425576
233	8140.405804
234	8132.491068
235	8127.044195
236	8109.426173
237	8099.726135
238	8094.802867
239	8085.001301
240	8076.381564
241	8051.54296
242	8044.116718
243	8031.069305
244	8019.36311
245	8007.334169
246	7998.733262
247	7991.76556
248	7983.128375
249	7975.687641
250	7970.274813
251	7964.306612
252	7959.142447
253	7950.066747
254	7944.349389
255	7937.875294
256	7924.817942
257	7916.112954
258	7902.735915
259	7897.078603
260	7891.361497
261	7880.137174
262	7873.250634
263	7862.709039
264	7852.781527
265	7843.225261
266	7834.345404
267	7828.940765
268	7824.243148
269	7817.750231
270	7808.875433
271	7802.971058
272	7791.428666
273	7781.2905
274	7773.488263
275	7768.258422
276	7764.370618
277	7753.691656
278	7743.50688
279	7735.650715
280	7729.603558
281	7721.842193
282	7715.439342
283	7709.868498
284	7703.887207
285	7698.723213
286	7692.872148
287	7685.869144
288	7674.192735
289	7669.336351
290	7659.946989
291	7651.694124
292	7642.963814
293	7638.409571
294	7629.739159
295	7622.262183
296	7615.251571
297	7608.366882
298	7601.665896
299	7597.757008
300	7585.81105
301	7581.007422
302	7575.64922
303	7564.961518
304	7559.308484
305	7552.08389
306	7542.66065
307	7534.635092
308	7531.948425
309	7526.887526
310	7523.041773
311	7519.654437
312	7512.751656
313	7505.2118
314	7494.40209
315	7490.428288
316	7486.140061
317	7478.04762
318	7470.456431
319	7463.961605
320	7457.70109
321	7453.285472
322	7446.273239
323	7442.63281
324	7437.069514
325	7430.942345
326	7426.647346
327	7422.853716
328	7419.762606
329	7416.989927
330	7411.327703
331	7392.124191
332	7386.442891
333	7380.429588
334	7374.151033
335	7369.706118
336	7367.689298
337	7361.656083
338	7354.903601
339	7351.806384
340	7348.922334
341	7340.694141
342	7334.606323
343	7329.884194
344	7322.716642
345	7318.220632
346	7311.803378
347	7308.944296
348	7301.124947
349	7297.330794
350	7294.54803
351	7288.962049
352	7284.436853
353	7278.141489
354	7274.311979
355	7269.069988
356	7263.848496
357	7260.035371
358	7256.494834
359	7247.748581
360	7244.226524
361	7240.283369
362	7233.974863
363	7228.822458
364	7222.163279
365	7218.681062
366	7212.908219
367	7208.164754
368	7201.853203
369	7197.542902
370	7193.513641
371	7185.426878
372	7182.733302
373	7177.117222
374	7171.572467
375	7166.272203
376	7161.599342
377	7158.50794
378	7152.525597
379	7148.002881
380	7145.453014
381	7141.477293
382	7137.734908
383	7119.386625
384	7114.34572
385	7109.478977
386	7106.617977
387	7103.141255
388	7099.506437
389	7095.796928
390	7089.538176
391	7084.552868
392	7081.001543
393	7078.193212
394	7069.961624
395	7065.488338
396	7061.093235
397	7058.929539
398	7055.812473
399	7054.563796
400	7050.456824
401	7044.336315
402	7037.587644
403	7031.330158
404	7022.341363
405	7018.497721
406	7014.193134
407	7010.296137
408	6999.916643
409	6997.453297
410	6993.739308
411	6989.819076
412	6985.88219
413	6983.60376
414	6978.956535
415	6974.126467
416	6967.161618
417	6964.083125
418	6958.798882
419	6953.723707
420	6950.613143
421	6945.498235
422	6941.95024
423	6937.402813
424	6932.843019
425	6929.079924
426	6927.985154
427	6924.027482
428	6919.92582
429	6916.899432
430	6913.363137
431	6908.421304
432	6902.586987
433	6899.200201
434	6897.624549
435	6894.204294
436	6890.872656
437	6888.66722
438	6883.459512
439	6879.297061
440	6876.381902
441	6872.224739
442	6867.102914
443	6863.249106
444	6859.213182
445	6856.006281
446	6852.939841
447	6848.356811
448	6845.390552
449	6838.65901
450	6836.310767
451	6832.862175
452	6829.455738
453	6826.766567
454	6822.625395
455	6819.313849
456	6815.681439
457	6812.142956
458	6805.114581
459	6802.12491
460	6798.349404
461	6795.234765
462	6790.343462
463	6788.688851
464	6784.504455
465	6780.669711
466	6778.614056
467	6776.844916
468	6772.646669
469	6769.567414
470	6763.862214
471	6757.498187
472	6754.272494
473	6751.040274
474	6747.7127
475	6741.962624
476	6738.960859
477	6733.663777
478	6729.570432
479	6727.134413
480	6725.259695
481	6721.71957
482	6717.447825
483	6715.486019
484	6713.728629
485	6708.368612
486	6705.255826
487	6699.625275
488	6696.23209
489	6694.439619
490	6692.38758
491	6690.3342
