iter	Passed	Remaining
0	24	24731
1	47	23776
2	67	22534
3	87	21846
4	108	21597
5	128	21237
6	147	20900
7	165	20528
8	183	20254
9	205	20352
10	223	20114
11	244	20126
12	264	20093
13	282	19912
14	303	19945
15	323	19882
16	342	19816
17	361	19717
18	380	19652
19	397	19492
20	416	19423
21	435	19374
22	454	19290
23	473	19253
24	492	19194
25	511	19144
26	529	19095
27	547	19008
28	564	18902
29	583	18865
30	601	18815
31	621	18796
32	639	18746
33	659	18745
34	678	18715
35	697	18672
36	717	18685
37	736	18652
38	755	18604
39	772	18545
40	791	18514
41	811	18508
42	829	18466
43	847	18419
44	867	18410
45	883	18329
46	902	18290
47	921	18276
48	936	18173
49	955	18153
50	974	18132
51	993	18103
52	1011	18078
53	1029	18043
54	1050	18043
55	1070	18046
56	1088	18005
57	1106	17972
58	1125	17946
59	1143	17916
60	1160	17857
61	1177	17821
62	1193	17744
63	1210	17708
64	1228	17677
65	1249	17681
66	1269	17673
67	1286	17629
68	1306	17622
69	1324	17603
70	1341	17557
71	1361	17550
72	1381	17544
73	1400	17523
74	1419	17510
75	1439	17502
76	1458	17488
77	1474	17428
78	1491	17383
79	1506	17325
80	1524	17299
81	1539	17239
82	1558	17215
83	1579	17220
84	1599	17212
85	1618	17201
86	1636	17168
87	1654	17145
88	1673	17133
89	1691	17104
90	1709	17077
91	1727	17054
92	1745	17025
93	1765	17012
94	1781	16972
95	1799	16947
96	1819	16942
97	1841	16945
98	1861	16939
99	1879	16917
100	1896	16882
101	1916	16874
102	1936	16865
103	1957	16868
104	1976	16849
105	1997	16847
106	2012	16796
107	2031	16778
108	2049	16751
109	2067	16729
110	2085	16705
111	2104	16685
112	2124	16674
113	2142	16649
114	2162	16644
115	2181	16627
116	2201	16613
117	2220	16593
118	2237	16565
119	2255	16539
120	2275	16529
121	2293	16505
122	2312	16489
123	2329	16459
124	2348	16440
125	2366	16415
126	2386	16406
127	2406	16393
128	2422	16359
129	2441	16342
130	2460	16324
131	2480	16312
132	2501	16304
133	2519	16280
134	2535	16247
135	2553	16223
136	2572	16202
137	2591	16187
138	2610	16172
139	2629	16150
140	2645	16119
141	2663	16095
142	2683	16080
143	2703	16070
144	2721	16048
145	2738	16017
146	2759	16011
147	2778	15996
148	2799	15986
149	2818	15971
150	2834	15939
151	2853	15919
152	2873	15904
153	2892	15889
154	2910	15867
155	2932	15866
156	2950	15844
157	2968	15817
158	2987	15802
159	3005	15779
160	3023	15756
161	3042	15738
162	3061	15722
163	3079	15695
164	3097	15676
165	3116	15659
166	3134	15636
167	3153	15617
168	3170	15591
169	3188	15567
170	3208	15556
171	3226	15533
172	3245	15514
173	3262	15486
174	3278	15458
175	3298	15444
176	3316	15419
177	3335	15401
178	3354	15383
179	3371	15360
180	3390	15341
181	3407	15316
182	3428	15308
183	3447	15288
184	3465	15267
185	3483	15242
186	3501	15222
187	3520	15203
188	3538	15182
189	3557	15166
190	3576	15146
191	3594	15128
192	3613	15109
193	3631	15087
194	3650	15069
195	3668	15046
196	3686	15025
197	3705	15007
198	3724	14990
199	3742	14971
200	3760	14949
201	3780	14935
202	3795	14903
203	3813	14881
204	3831	14859
205	3850	14841
206	3866	14811
207	3883	14787
208	3902	14768
209	3920	14750
210	3940	14733
211	3957	14709
212	3976	14690
213	3994	14670
214	4013	14652
215	4031	14631
216	4050	14614
217	4068	14592
218	4085	14568
219	4106	14559
220	4126	14546
221	4145	14527
222	4165	14513
223	4182	14488
224	4202	14473
225	4218	14448
226	4237	14429
227	4255	14407
228	4271	14382
229	4289	14360
230	4308	14342
231	4326	14320
